dates,stationid,dispx,dispy,dispz,temperature,humidity,rain
07-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,22.93571,95.49286,189
08-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,23.23239,96.33099,0
09-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,23.87324,97.01408,333
10-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,24.34965,96.6993,33.75
11-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,22.8951,97.69231,468
12-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,23.48175,93.68613,0
13-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,22.79861,97.5,222.75
14-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,21.51128,94.36842,6.75
15-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,22.27465,95.66197,0
16-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,22.44366,88.35211,0
17-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,22.02098,86.67133,0
18-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,22.1958,86.65035,0
19-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,23.6383,82.44681,0
20-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,24.30986,78.67606,0
21-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,24.57343,85.91608,11.25
22-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,17.58571,99,162
23-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,17.44681,99,15.75
24-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,15.93007,99,9
25-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,20.71831,88.71127,4.5
26-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,22.65957,85.90071,2.25
27-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,22.1338,85.6338,4.5
28-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,20.40972,91.5625,263.25
29-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,21.8169,86.06338,0
30-09-2018,t12,-2.045517435,-2.014331445,-1.7970926738,21.44444,86.74306,0
01-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,21.67133,84,0
02-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,21.08451,74.44366,0
03-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,21.33566,72.51748,0
04-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,21.16429,64.17857,0
05-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,20.34722,67.93056,0
06-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,19.65734,64.42657,0
07-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,20.32867,68.13287,0
08-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,20.02113,74.8662,0
09-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,20.69444,55.63889,0
10-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,20.03521,50.77465,6.75
11-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,15.47887,83.57746,0
12-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,18.31469,81.73427,0
13-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,18.125,81.32639,0
14-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,18.04895,80.82517,0
15-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,18.22378,74.1958,0
16-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,18.56028,63.29787,0
17-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,17.97222,58.71528,0
18-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,19.30556,57.45139,0
19-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,20,49.40972,0
20-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,18.9375,53.94444,0
21-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,18.97887,52.02113,0
22-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,18.00699,53.74126,0
23-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,17.38889,49.10417,0
24-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,17.83036,53.67857,0
25-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,17.35417,52.27083,0
26-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,17.35915,55.43662,0
27-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,12.57143,61.57143,0
31-10-2018,t12,-2.045517435,-2.014331445,-1.7970926738,16.02326,84.37209,0
01-11-2018,t12,-2.045517435,-2.014331445,-1.7970926738,16.26866,80.1194,0
02-11-2018,t12,-2.045517435,-2.014331445,-1.7970926738,13.21642,83.6194,0
03-11-2018,t12,-2.045517435,-2.014331445,-1.7970926738,11.27778,97.44444,0
04-11-2018,t12,-1.966134915,-1.983145455,-1.8821453738,14.16296,82.41481,0
05-11-2018,t12,-1.966134915,-1.983145455,-1.8821453738,15.00746,76.79851,0
06-11-2018,t12,-1.966134915,-1.9866893175,-1.8927769613,14.85714,73.8797,0
07-11-2018,t12,-1.96755246,-1.9861222995,-1.8910759073,14.6,69.61538,0
08-11-2018,t12,-1.9643629838,-1.9861222995,-1.8910759073,14.10526,77.25564,0
09-11-2018,t12,-1.9643629838,-1.9861222995,-1.8910759073,15.47727,70.69697,0
10-11-2018,t12,-1.9643629838,-1.9861222995,-1.8910759073,15.63359,71.32061,0
11-11-2018,t12,-1.9643629838,-1.9861222995,-1.8910759073,13.95522,64.8806,0
12-11-2018,t12,-1.9643629838,-1.9861222995,-1.8910759073,17.06716,50.52985,0
13-11-2018,t12,-1.9643629838,-1.9861222995,-1.8910759073,14.44444,60.78519,0
14-11-2018,t12,-1.9643629838,-1.9861222995,-1.8910759073,14.08209,76.37313,0
15-11-2018,t12,-1.9643629838,-1.9861222995,-1.8910759073,12.02239,82.50746,0
16-11-2018,t12,-1.9643629838,-1.9861222995,-1.8910759073,13.43284,75.74627,0
17-11-2018,t12,-1.9643629838,-1.9960451145,-1.9258057598,13.05263,73.4812,0
18-11-2018,t12,-1.9643629838,-1.9965513806,-1.9272233048,14.18045,66.03759,0
19-11-2018,t12,-1.9643629838,-1.9937162906,-1.9187180348,15.30597,64.90299,0
20-11-2018,t12,-1.9664893013,-1.9937162906,-1.9187180348,15.15909,66.25,0
21-11-2018,t12,-1.9643629838,-1.9937162906,-1.9187180348,14.63492,59.45238,0
22-11-2018,t12,-1.9643629838,-1.9951338356,-1.9229706698,13.14286,68.75188,0
